英単語,訳,発音,解説,用例,用例・訳
predetermine,"…を前もって決める[方向を定める, 仕向ける]",ˌpridɪˈtɜrmən,"…‘を'前もって定める;(…するよう)…‘を'前もって定める《+『名』+『to』 do》 
〈生産量,経費など〉‘を'見積もる","In the same way as Hegel, Panovsky's notion of the dialectic makes history follow a predetermined course.",ヘーゲルと同様に、パノフスキーの弁論方の概念は歴史があらかじめ定められた道程をたどるようにさせている。
predictable,予測可能な,prɪˈdɪktəbəl,"(現象などが)予報(予言)し得る 
(悪い意味で)予想どおりの","This source is dependable and predictable, but more research is still needed in this area.",この熱源は安心して使えるし、将来の予測もたてられるが、この分野での研究はさらに必要である。
prediction,予測,priˈdɪkʃən,"〈U〉予報(予言)すること 
〈C〉予報(予言)される事;(…という)予報,予言《+『that節』》",The prediction was for more snow.,予報はさらに降雪があると伝えていた。
predictor,"【名/C】予測者；予測因子；予言するもの,徴候を示すもの",prɪˈdɪktər,"【名/C】予測者；予測因子；予言するもの,徴候を示すもの",the weekly bulletin contains several predictors of mutual fund performance,週刊会報は、投資信託実行の予測の判断材料を含んでいる
prejudice,偏見,ˈprɛʤədɪs,"〈U〉〈C〉(…に対する不当な)『先入観』,『偏見』《+『against』+『名』(do『ing』)》;(…に好意的な)先入観,えこひいき《+『in favor of』+『名』》 
〈U〉不利益,損害 
(…に対して)…‘に'(不当な)『先入観』(『偏見』)『を抱かせる』《+『名』+『against』+『名』(do『ing』)》;(…に対して)…‘に'(好意的な)先入観を抱かせる《+『名』+『in favor of』+『名』,+『名』+『in』 one's 『favor』》 
〈立場,見込みなど〉‘を'損なう,だいなしにする","Ethnic minorities struggle against prejudice, poverty, and oppression.",少数民族は偏見、貧困、抑圧と戦っている。
preliminary,予備的,prɪˈlɪməˌnɛri,"『準備する』,『予備の』;前置きの 
《通例複数形で》準備の処置,予備行動,下準備 
予備試験;前座試合;予選","Well, these preliminaries have gone on too long.",さて、前置きが長くなった
premier,首相,prɛˈmɪr,"『第1位の』;『首席の』(chief) 
(フランス・イタリア・日本などの)『首相』",The Premier subscribed his name to the charter.,首相は憲章に署名した。
premium,保険料；割増料金；賞品；高級な,ˈprimiəm,"(購買心をそそるための)無料提供品,値引き品,おまけ 
割増し金;奨励金 
(普通以上の)高い価値 
保険料,保険掛け金",How much is the premium?,保険料は幾らですか。
prepayment,【名/C】前払い金；前納金,priˈpeɪmənt,【名/C】前払い金；前納金,"(2) An immediate appeal may be filed against an order on prepayment of expenses.
","２　費用の予納に関する決定に対しては、即時抗告をすることができる。
"
prescribe,処方する；規定する；時効で無効にする,prəˈskraɪb,"〈守るべき規則・方針など〉‘を'『規定する』,『勧める』,指示する 
《『prescribe』+『名』〈人〉+『名』〈薬〉=『prescribe』+『名』+『for』+『名』》〈人〉‘に'〈薬〉‘を'処方する 
規定する,資示する 
(病人・病気に対して)処方を書く",How about consulting a doctor and getting sedatives prescribed?,医者に相談して鎮静剤を処方してもらうのはどうでしょうか。
prescription,"【名/U】指示（規定）すること【名/C】規定,指示；（薬などの）処方；処方せん；処方【名/U】時効；長期間の使用による権利；貫行",prəˈskrɪpʃən,"〈U〉指示(規定)すること 
〈C〉規定,指示 
〈C〉(薬などの)処方;処方せん;処方薬 
〈U〉時効;長期間の使用による権利,貫行",The pharmacist made up the prescription for me.,薬剤師は処方どおりに調合してくれた。
presidency,【名】大統領職；会長の職；大統領在任期間；会長の任期,ˈprɛzədənsi,"《the presidency》大統領(総裁,学長,社長など)の職(任期) 
〈U〉《しばしばPresidency》米大統領の職務(地位)",He is a natural to win the Presidency.,彼は必ず大統領の椅子につく人物だ。
presume,推定する,prɪˈzum,"…‘を'推定する,仮定する 
《『presume to』 do》『思い切って』『する』,大胆(生意気)にも…する(dare) 
思いあがった(生意気な,大胆な)ことをする 
(…に)つけ入る,つけ込む,甘える《+『on』(『upon』)+『名』》","From the way they talked, I presumed they were married.",彼らの話し振りから、私は彼らが結婚していると推測した。
prevail,普及している；勝つ；説得する,prɪˈveɪl,"《文》 
(…に)〈強さ・影響力が〉『勝る』,勝つ《+『over』(『against』)+『名』》 
(…に)『普及している』,広く行きわたる《『in』(『among』)+『名』》",He prevailed on the farmers to try the new seeds.,彼は農場主達に新しい種を使ってみるように説得した。
prevention,防止,priˈvɛnʃən,"〈U〉(…を)『予防』(『防止』)『すること』《+『of』+『名』》 
〈C〉(…を)予防(防止)するもの《+『against』+『名』(do『ing』)》","It's the prevention of migraines during daily life that's important, not dealing with migraines when they occur.",偏頭痛がおこったときに対処するだけではなく、普段の生活のなかで、偏頭痛をなるべく防いでいくのも大事なことです。
privacy,プライバシー；私的な自由,ˈpraɪvəsi,"他人から干渉されない状態(権利),プライバシー 
秘密,内密",It's a guest room equipped with soundproofing with an emphasis on privacy.,防音設備が施されプライベートを重視したゲストルームです。
privately,"【副】ひそかに,秘密に；個人的に,個人として",ˈpraɪvətli,"【副】ひそかに,秘密に
個人的に,個人として；非公式で
民間で
他人の仲介なく
",a privately financed campaign,個人的に融資されたキャンペーン
privatization,【名】民営化；公開会社の非公開化,ˈpraɪvətəˈzeɪʃən,【名】民営化；公開会社の非公開化,"In 2008, triggered by the privatization of the postal system, new items such as carbon-offset New Year's postcards and New Year's postcards with cartoon characters were released.
","2008年には郵政民営化を機にカーボンオフセット年賀はがきやキャラクター年賀はがきなどの新商品が出た。
"
privatize,【動/他】を民営化する,ˈprɪvəˌtaɪz,【動/他】《企業・事業》を民営化する,"According to ""The Zuo Zhuan"" (The Chronicle of Zuo), in 543 BC, Chancellor 季武子, who controlled the politics of the house of lords at that time, attacked a village, a public land, to privatize it, taking advantage of Duke Xiang's absence.
","『春秋左氏伝』によれば、魯の襄公29（前543）年に、襄公が国を留守にしているのを幸いと、当時公室で政治を牛耳っていた宰相・季武子が公領となっていた村を襲って私有化した。
"
probable,"【形】ありそうな, 起こりそうな【名/C】起こりそうなこと / 何かしそうな人 / 予想される勝利者",ˈprɑbəbəl,"『ありそうな』,起こりそうな 
起こりそうなこと;何かしそうな人,予想される勝利者,有望な候補者",It is probable that he is ill.,彼は病気なのかもしれない。
probe,【動/自/他】徹底的に調べる【名】徹底的な調査,proʊb,"(傷の深さを調べる)さぐり針 
(…を)厳密に調べること,精査《+『into』(『for』,『at』)+『名』》 
(また『space probe』)(ロケットの)宇宙探測機 
…‘を'厳密に調べる 
〈傷〉‘を'さぐり針で調べる 
(…を)厳密に調べる《+『into』(『for』,『at』)+『名』》",Investigators are running a probe into what caused the crash.,調査団は墜落の原因について綿密な調査を行っています。
processor,プロセッサ；中央演算装置；加工するもの,ˈprɑˌsɛsər,"[農産物]加工業者 
(コンピューターの)データ処理装置",He wanted to buy an electric typewriter but his friend talked him into buying a word processor.,彼は電動タイプライターが欲しかったが、友人は彼を説き伏せてワープロを買わせた。
proclaim,【動/他】を宣言する / をはっきりと知らせる,proʊˈkleɪm,"〈国家的・社会的重大事〉‘を'『宣言する』,公表する 
《文》〈物・事が〉…‘を'はっきりと知らせる",his tie proclaimed his school colors,彼の学校色であると宣言された彼の繋がり
procurement,"【名/U】≪...の≫入手,獲得,調達≪of≫",proʊˈkjʊrmənt,"(…の)入手,獲得,調達《+『of』+『名』》","However, the procurement of ingredients was not easy.
","ただし、原料の調達はスムーズではなかった。
"
